	hitsIn	hitsOut
pfam1	2	1
pfam2	31	3
pfam3	31	3
pfam4	31	3
pfam5	31	3
pfam6	31	2
pfam7	31	3
pfam8	31	3
pfam9	31	3
pfam10	31	3
pfam11	31	2
pfam12	31	3
pfam13	31	3
pfam14	31	2
pfam15	31	3
pfam16	1	1
pfam17	31	3
pfam18	31	3
pfam19	31	3
pfam20	31	3
pfam21	31	3
pfam22	31	3
pfam23	30	3
pfam24	31	3
pfam25	31	3
pfam26	31	3
pfam27	31	3
pfam28	31	3
pfam29	29	2
pfam30	4	1
pfam31	31	3
pfam32	31	3
pfam33	31	3
pfam34	31	3
pfam35	31	3
pfam36	31	3
pfam37	31	3
pfam38	31	3
pfam39	31	3
pfam40	31	3
pfam41	30	3
pfam42	31	3
pfam43	31	3
pfam44	31	3
pfam45	31	3
pfam46	31	3
pfam47	31	3
pfam48	30	3
pfam49	31	3
pfam50	31	3
pfam51	31	3
pfam52	31	3
pfam53	31	3
pfam54	31	3
pfam55	31	3
pfam56	30	3
pfam57	31	3
pfam58	31	3
pfam59	31	3
pfam60	31	3
pfam61	31	3
pfam62	31	3
pfam63	31	3
pfam64	31	3
pfam65	31	3
pfam66	30	3
pfam67	31	3
pfam68	31	3
pfam69	31	3
pfam70	31	3
pfam71	31	3
pfam72	31	3
pfam73	31	3
pfam74	31	3
pfam75	31	3
pfam76	31	3
pfam77	30	3
pfam78	31	3
pfam79	31	3
pfam80	31	3
pfam81	31	3
pfam82	31	3
pfam83	31	3
pfam84	31	3
pfam85	31	3
pfam86	31	3
pfam87	30	3
pfam88	31	3
pfam89	31	3
pfam90	31	3
pfam91	31	3
pfam92	31	3
pfam93	31	3
pfam94	31	3
pfam95	31	3
pfam96	31	3
pfam97	31	3
pfam98	31	3
pfam99	31	3
pfam100	31	3
pfam101	31	3
pfam102	31	3
pfam103	31	3
pfam104	31	3
pfam105	31	3
pfam106	31	3
pfam107	31	3
pfam108	31	3
pfam109	31	3
pfam110	31	3
pfam111	31	3
pfam112	31	3
pfam113	31	3
pfam114	31	3
pfam115	31	3
pfam116	31	3
pfam117	31	3
pfam118	31	3
pfam119	31	3
pfam120	31	3
pfam121	1	1
pfam122	31	3
pfam123	31	3
pfam124	31	3
pfam125	31	3
pfam126	31	3
pfam127	31	3
pfam128	31	3
pfam129	31	3
pfam130	31	3
pfam131	31	3
pfam132	4	3
pfam133	31	3
pfam134	31	2
pfam135	31	3
pfam136	31	3
pfam137	31	3
pfam138	31	3
pfam139	31	3
pfam140	31	3
pfam141	31	3
pfam142	31	3
pfam143	31	3
pfam144	31	3
pfam145	31	3
pfam146	31	3
pfam147	31	3
pfam148	31	3
pfam149	31	3
pfam150	29	3
pfam151	31	3
pfam152	30	3
pfam153	31	3
pfam154	31	3
pfam155	31	3
pfam156	31	3
pfam157	31	3
pfam158	31	3
pfam159	31	3
pfam160	31	3
pfam161	31	3
pfam162	31	3
pfam163	31	3
pfam164	31	3
pfam165	31	3
pfam166	31	3
pfam167	31	2
pfam168	30	3
pfam169	31	3
pfam170	31	3
pfam171	31	3
pfam172	30	3
pfam173	31	3
pfam174	31	3
pfam175	31	3
pfam176	31	3
pfam177	30	3
pfam178	31	3
pfam179	31	3
pfam180	31	3
pfam181	6	3
pfam182	31	3
pfam183	31	3
pfam184	31	3
pfam185	31	3
pfam186	31	2
pfam187	31	3
pfam188	31	3
pfam189	31	3
pfam190	31	3
pfam191	31	3
pfam192	31	3
pfam193	31	3
pfam194	31	3
pfam195	31	3
pfam196	30	3
pfam197	31	3
pfam198	31	3
pfam199	31	3
pfam200	31	3
pfam201	31	3
pfam202	31	3
pfam203	31	3
pfam204	31	3
pfam205	31	3
pfam206	31	3
pfam207	31	3
pfam208	30	3
pfam209	30	3
pfam210	31	2
pfam211	31	3
pfam212	31	3
pfam213	31	2
pfam214	31	3
pfam215	31	3
pfam216	31	2
pfam217	31	3
pfam218	31	3
pfam219	30	3
pfam220	31	3
pfam221	31	3
pfam222	31	3
pfam223	31	3
pfam224	31	3
pfam225	31	3
pfam226	31	3
pfam227	31	3
pfam228	31	2
pfam229	6	3
